machine,source_root,experiment_line,matched_keywords,status,protocol,env,domain,task_id,config_name,seed,target_steps,final_step,success_final,return_final,length_final,success_best,best_step,success_peak_after_500k,peak_step_after_500k,eval_csv,train_csv,command_txt,report_files,run_dir,curve_points,already_in_registry,registry_run_ids,notes
4090d,/root/sb-value-flows,bestseed,bestseed,COMPLETED,300k_screening,cube-double-play-singletask-task1-v0,cube-double-play,task1,A1_action_std_lam0p001,002,300000,300000,1,-161.1,162.1,1,300000,,,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/A1_action_std_lam0p001_cube-double-play-singletask-task1-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_A1_action_std_lam0p001_cube-double-play-singletask-task1-v0_seed2/sd002_20260605_053047/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/A1_action_std_lam0p001_cube-double-play-singletask-task1-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_A1_action_std_lam0p001_cube-double-play-singletask-task1-v0_seed2/sd002_20260605_053047/train.csv,,/root/sb-value-flows/reports/bigtable_expansion_4090d_v3_report.md;/root/sb-value-flows/reports/fix_2x4090_mujoco_osmesa_report.md;/root/sb-value-flows/reports/fix_2x4090_value_flows_env_report.md;/root/sb-value-flows/reports/fullsafe_light_seed_extension_4090d_report.md;/root/sb-value-flows/reports/matched_origin_vs_fullsafe_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_1m_confirm_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_300k_screening_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_reweight_smoke_report.md;/root/sb-value-flows/reports/overnight_reliability_sb_4090d_report.md;/root/sb-value-flows/reports/pm_fullsafe_light_overnight_tune_4090d_report.md;/root/sb-value-flows/reports/postrun_4090d_after_light_tune_report.md;/root/sb-value-flows/reports/table3_pm_fullres_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_light_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_official_2x4090_parallel_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v4_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v5_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v6_report.md,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/A1_action_std_lam0p001_cube-double-play-singletask-task1-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_A1_action_std_lam0p001_cube-double-play-singletask-task1-v0_seed2/sd002_20260605_053047,7,no,,
4090d,/root/sb-value-flows,bestseed,bestseed,COMPLETED,300k_screening,cube-double-play-singletask-task1-v0,cube-double-play,task1,R2_flow_residual_disagree_std_lam0p001,002,300000,300000,0.9,-202.3,203.2,0.9,300000,,,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task1-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task1-v0_seed2/sd002_20260605_065051/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task1-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task1-v0_seed2/sd002_20260605_065051/train.csv,,/root/sb-value-flows/reports/bigtable_expansion_4090d_v3_report.md;/root/sb-value-flows/reports/fix_2x4090_mujoco_osmesa_report.md;/root/sb-value-flows/reports/fix_2x4090_value_flows_env_report.md;/root/sb-value-flows/reports/fullsafe_light_seed_extension_4090d_report.md;/root/sb-value-flows/reports/matched_origin_vs_fullsafe_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_1m_confirm_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_300k_screening_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_reweight_smoke_report.md;/root/sb-value-flows/reports/overnight_reliability_sb_4090d_report.md;/root/sb-value-flows/reports/pm_fullsafe_light_overnight_tune_4090d_report.md;/root/sb-value-flows/reports/postrun_4090d_after_light_tune_report.md;/root/sb-value-flows/reports/table3_pm_fullres_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_light_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_official_2x4090_parallel_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v4_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v5_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v6_report.md,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task1-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task1-v0_seed2/sd002_20260605_065051,7,no,,
4090d,/root/sb-value-flows,bestseed,bestseed,COMPLETED,300k_screening,cube-double-play-singletask-task1-v0,cube-double-play,task1,R3_flow_residual_disagree_typicality_std_lam0p001,002,300000,300000,0.8,-202.1,202.9,0.8,300000,,,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task1-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task1-v0_seed2/sd002_20260605_081126/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task1-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task1-v0_seed2/sd002_20260605_081126/train.csv,,/root/sb-value-flows/reports/bigtable_expansion_4090d_v3_report.md;/root/sb-value-flows/reports/fix_2x4090_mujoco_osmesa_report.md;/root/sb-value-flows/reports/fix_2x4090_value_flows_env_report.md;/root/sb-value-flows/reports/fullsafe_light_seed_extension_4090d_report.md;/root/sb-value-flows/reports/matched_origin_vs_fullsafe_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_1m_confirm_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_300k_screening_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_reweight_smoke_report.md;/root/sb-value-flows/reports/overnight_reliability_sb_4090d_report.md;/root/sb-value-flows/reports/pm_fullsafe_light_overnight_tune_4090d_report.md;/root/sb-value-flows/reports/postrun_4090d_after_light_tune_report.md;/root/sb-value-flows/reports/table3_pm_fullres_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_light_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_official_2x4090_parallel_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v4_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v5_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v6_report.md,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task1-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task1-v0_seed2/sd002_20260605_081126,7,no,,
4090d,/root/sb-value-flows,bestseed,bestseed,COMPLETED,300k_screening,cube-double-play-singletask-task2-v0,cube-double-play,task2,A1_action_std_lam0p001,002,300000,300000,0.1,-919.2,464.2,0.2,250000,,,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/A1_action_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_A1_action_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260604_150402/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/A1_action_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_A1_action_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260604_150402/train.csv,,/root/sb-value-flows/reports/bigtable_expansion_4090d_v3_report.md;/root/sb-value-flows/reports/fix_2x4090_mujoco_osmesa_report.md;/root/sb-value-flows/reports/fix_2x4090_value_flows_env_report.md;/root/sb-value-flows/reports/fullsafe_light_seed_extension_4090d_report.md;/root/sb-value-flows/reports/matched_origin_vs_fullsafe_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_1m_confirm_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_300k_screening_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_reweight_smoke_report.md;/root/sb-value-flows/reports/overnight_reliability_sb_4090d_report.md;/root/sb-value-flows/reports/pm_fullsafe_light_overnight_tune_4090d_report.md;/root/sb-value-flows/reports/postrun_4090d_after_light_tune_report.md;/root/sb-value-flows/reports/table3_pm_fullres_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_light_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_official_2x4090_parallel_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v4_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v5_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v6_report.md,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/A1_action_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_A1_action_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260604_150402,7,no,,
4090d,/root/sb-value-flows,bestseed,bestseed,COMPLETED,300k_screening,cube-double-play-singletask-task2-v0,cube-double-play,task2,A1_action_std_lam0p001,002,300000,300000,0.3,-718.6,396.3,0.3,300000,,,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/A1_action_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_A1_action_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260605_093200/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/A1_action_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_A1_action_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260605_093200/train.csv,,/root/sb-value-flows/reports/bigtable_expansion_4090d_v3_report.md;/root/sb-value-flows/reports/fix_2x4090_mujoco_osmesa_report.md;/root/sb-value-flows/reports/fix_2x4090_value_flows_env_report.md;/root/sb-value-flows/reports/fullsafe_light_seed_extension_4090d_report.md;/root/sb-value-flows/reports/matched_origin_vs_fullsafe_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_1m_confirm_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_300k_screening_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_reweight_smoke_report.md;/root/sb-value-flows/reports/overnight_reliability_sb_4090d_report.md;/root/sb-value-flows/reports/pm_fullsafe_light_overnight_tune_4090d_report.md;/root/sb-value-flows/reports/postrun_4090d_after_light_tune_report.md;/root/sb-value-flows/reports/table3_pm_fullres_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_light_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_official_2x4090_parallel_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v4_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v5_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v6_report.md,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/A1_action_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_A1_action_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260605_093200,7,no,,
4090d,/root/sb-value-flows,bestseed,bestseed,COMPLETED,300k_screening,cube-double-play-singletask-task2-v0,cube-double-play,task2,R2_flow_residual_disagree_std_lam0p001,002,300000,300000,0.6,-482.6,291.7,0.6,300000,,,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260604_150402/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260604_150402/train.csv,,/root/sb-value-flows/reports/bigtable_expansion_4090d_v3_report.md;/root/sb-value-flows/reports/fix_2x4090_mujoco_osmesa_report.md;/root/sb-value-flows/reports/fix_2x4090_value_flows_env_report.md;/root/sb-value-flows/reports/fullsafe_light_seed_extension_4090d_report.md;/root/sb-value-flows/reports/matched_origin_vs_fullsafe_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_1m_confirm_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_300k_screening_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_reweight_smoke_report.md;/root/sb-value-flows/reports/overnight_reliability_sb_4090d_report.md;/root/sb-value-flows/reports/pm_fullsafe_light_overnight_tune_4090d_report.md;/root/sb-value-flows/reports/postrun_4090d_after_light_tune_report.md;/root/sb-value-flows/reports/table3_pm_fullres_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_light_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_official_2x4090_parallel_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v4_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v5_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v6_report.md,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260604_150402,7,no,,
4090d,/root/sb-value-flows,bestseed,bestseed,COMPLETED,300k_screening,cube-double-play-singletask-task2-v0,cube-double-play,task2,R2_flow_residual_disagree_std_lam0p001,002,300000,300000,0.2,-772.4,442.7,0.2,300000,,,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260605_094401/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260605_094401/train.csv,,/root/sb-value-flows/reports/bigtable_expansion_4090d_v3_report.md;/root/sb-value-flows/reports/fix_2x4090_mujoco_osmesa_report.md;/root/sb-value-flows/reports/fix_2x4090_value_flows_env_report.md;/root/sb-value-flows/reports/fullsafe_light_seed_extension_4090d_report.md;/root/sb-value-flows/reports/matched_origin_vs_fullsafe_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_1m_confirm_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_300k_screening_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_reweight_smoke_report.md;/root/sb-value-flows/reports/overnight_reliability_sb_4090d_report.md;/root/sb-value-flows/reports/pm_fullsafe_light_overnight_tune_4090d_report.md;/root/sb-value-flows/reports/postrun_4090d_after_light_tune_report.md;/root/sb-value-flows/reports/table3_pm_fullres_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_light_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_official_2x4090_parallel_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v4_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v5_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v6_report.md,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260605_094401,7,no,,
4090d,/root/sb-value-flows,bestseed,bestseed,COMPLETED,300k_screening,cube-double-play-singletask-task2-v0,cube-double-play,task2,R3_flow_residual_disagree_typicality_std_lam0p001,002,300000,300000,0.4,-641.5,362.2,0.4,300000,,,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260604_162336/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260604_162336/train.csv,,/root/sb-value-flows/reports/bigtable_expansion_4090d_v3_report.md;/root/sb-value-flows/reports/fix_2x4090_mujoco_osmesa_report.md;/root/sb-value-flows/reports/fix_2x4090_value_flows_env_report.md;/root/sb-value-flows/reports/fullsafe_light_seed_extension_4090d_report.md;/root/sb-value-flows/reports/matched_origin_vs_fullsafe_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_1m_confirm_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_300k_screening_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_reweight_smoke_report.md;/root/sb-value-flows/reports/overnight_reliability_sb_4090d_report.md;/root/sb-value-flows/reports/pm_fullsafe_light_overnight_tune_4090d_report.md;/root/sb-value-flows/reports/postrun_4090d_after_light_tune_report.md;/root/sb-value-flows/reports/table3_pm_fullres_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_light_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_official_2x4090_parallel_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v4_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v5_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v6_report.md,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260604_162336,7,no,,
4090d,/root/sb-value-flows,bestseed,bestseed,COMPLETED,300k_screening,cube-double-play-singletask-task2-v0,cube-double-play,task2,R3_flow_residual_disagree_typicality_std_lam0p001,002,300000,300000,0.3,-762.5,395.1,0.3,300000,,,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260605_105235/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260605_105235/train.csv,,/root/sb-value-flows/reports/bigtable_expansion_4090d_v3_report.md;/root/sb-value-flows/reports/fix_2x4090_mujoco_osmesa_report.md;/root/sb-value-flows/reports/fix_2x4090_value_flows_env_report.md;/root/sb-value-flows/reports/fullsafe_light_seed_extension_4090d_report.md;/root/sb-value-flows/reports/matched_origin_vs_fullsafe_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_1m_confirm_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_300k_screening_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_reweight_smoke_report.md;/root/sb-value-flows/reports/overnight_reliability_sb_4090d_report.md;/root/sb-value-flows/reports/pm_fullsafe_light_overnight_tune_4090d_report.md;/root/sb-value-flows/reports/postrun_4090d_after_light_tune_report.md;/root/sb-value-flows/reports/table3_pm_fullres_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_light_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_official_2x4090_parallel_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v4_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v5_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v6_report.md,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260605_105235,7,no,,
4090d,/root/sb-value-flows,bestseed,bestseed,COMPLETED,300k_screening,cube-double-play-singletask-task3-v0,cube-double-play,task3,A1_action_std_lam0p001,002,300000,300000,0,-955.9,500,0.2,200000,,,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/A1_action_std_lam0p001_cube-double-play-singletask-task3-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_A1_action_std_lam0p001_cube-double-play-singletask-task3-v0_seed2/sd002_20260605_110234/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/A1_action_std_lam0p001_cube-double-play-singletask-task3-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_A1_action_std_lam0p001_cube-double-play-singletask-task3-v0_seed2/sd002_20260605_110234/train.csv,,/root/sb-value-flows/reports/bigtable_expansion_4090d_v3_report.md;/root/sb-value-flows/reports/fix_2x4090_mujoco_osmesa_report.md;/root/sb-value-flows/reports/fix_2x4090_value_flows_env_report.md;/root/sb-value-flows/reports/fullsafe_light_seed_extension_4090d_report.md;/root/sb-value-flows/reports/matched_origin_vs_fullsafe_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_1m_confirm_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_300k_screening_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_reweight_smoke_report.md;/root/sb-value-flows/reports/overnight_reliability_sb_4090d_report.md;/root/sb-value-flows/reports/pm_fullsafe_light_overnight_tune_4090d_report.md;/root/sb-value-flows/reports/postrun_4090d_after_light_tune_report.md;/root/sb-value-flows/reports/table3_pm_fullres_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_light_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_official_2x4090_parallel_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v4_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v5_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v6_report.md,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/A1_action_std_lam0p001_cube-double-play-singletask-task3-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_A1_action_std_lam0p001_cube-double-play-singletask-task3-v0_seed2/sd002_20260605_110234,7,no,,
4090d,/root/sb-value-flows,bestseed,bestseed,COMPLETED,300k_screening,cube-double-play-singletask-task3-v0,cube-double-play,task3,R2_flow_residual_disagree_std_lam0p001,002,300000,300000,0.5,-613,329,0.5,300000,,,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task3-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task3-v0_seed2/sd002_20260605_121339/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task3-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task3-v0_seed2/sd002_20260605_121339/train.csv,,/root/sb-value-flows/reports/bigtable_expansion_4090d_v3_report.md;/root/sb-value-flows/reports/fix_2x4090_mujoco_osmesa_report.md;/root/sb-value-flows/reports/fix_2x4090_value_flows_env_report.md;/root/sb-value-flows/reports/fullsafe_light_seed_extension_4090d_report.md;/root/sb-value-flows/reports/matched_origin_vs_fullsafe_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_1m_confirm_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_300k_screening_4090d_report.md;/root/sb-value-flows/reports/minimal_sb_reweight_smoke_report.md;/root/sb-value-flows/reports/overnight_reliability_sb_4090d_report.md;/root/sb-value-flows/reports/pm_fullsafe_light_overnight_tune_4090d_report.md;/root/sb-value-flows/reports/postrun_4090d_after_light_tune_report.md;/root/sb-value-flows/reports/table3_pm_fullres_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_light_problem_envs_2x4090_report.md;/root/sb-value-flows/reports/table3_pm_fullsafe_official_2x4090_parallel_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v4_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v5_report.md;/root/sb-value-flows/reports/visual_bigtable_4090d_v6_report.md,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueB_screen_300k/R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task3-v0_seed2_300000/bestseed_5task_v2_queueB_screen_300k_R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task3-v0_seed2/sd002_20260605_121339,7,no,,
